store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,color,status,visibility,tax_class_id,featured,size,width,price,special_price,msrp,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type,product_status_changed,product_changed_websites,website,_media_image,_media_lable,_media_position,_media_is_disabled,is_recurring,weight,recurring_profile
admin,base,Default,configurable,"3,70",8.8911E+11,1,11906-BKHP-LACE UP-SS16,,,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,,,,,,,,,,,,,,Enabled,"Catalog, Search",None,Yes,,,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-BKHP-LACE UP-889110303214,0,configurable,,,,,,,,,,
admin,base,Default,simple,"3,70",8.8911E+11,0,11906-BKHP-LACE UP-889110303214,6404,,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,11906-BKHP-LACE UP-889110303214,11906-BKHP-LACE UP-889110303214.html,,,Product Info Column,,,,,Yes,Use config,,BKHP,Enabled,Not Visible Individually,None,Yes,6,Medium,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-BKHP-LACE UP-889110303214,0,simple,,,,/1/1/11906-bkhp2_2.jpg,,1,0,No,1,
admin,base,Default,simple,"3,70",8.8911E+11,0,11906-BKHP-LACE UP-889110303238,6404,,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,11906-BKHP-LACE UP-889110303238,11906-BKHP-LACE UP-889110303238.html,,,Product Info Column,,,,,Yes,Use config,,BKHP,Enabled,Not Visible Individually,None,Yes,7,Medium,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-BKHP-LACE UP-889110303238,0,simple,,,,/1/1/11906-bkhp6_2.jpg,,2,0,No,1,
admin,base,Default,simple,"3,70",8.8911E+11,0,11906-BKHP-LACE UP-889110303252,6404,,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,11906-BKHP-LACE UP-889110303252,11906-BKHP-LACE UP-889110303252.html,,,Product Info Column,,,,,Yes,Use config,,BKHP,Enabled,Not Visible Individually,None,Yes,8,Medium,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-BKHP-LACE UP-889110303252,0,simple,,,,/1/1/11906-bkhp3_2.jpg,,3,0,No,1,
admin,base,Default,simple,"3,70",8.8911E+11,0,11906-BKHP-LACE UP-889110303276,6404,,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,11906-BKHP-LACE UP-889110303276,11906-BKHP-LACE UP-889110303276.html,,,Product Info Column,,,,,Yes,Use config,,BKHP,Enabled,Not Visible Individually,None,Yes,9,Medium,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-BKHP-LACE UP-889110303276,0,simple,,,,/1/1/11906-bkhp4_2.jpg,,4,0,No,1,
admin,base,Default,simple,"3,70",8.8911E+11,0,11906-BKHP-LACE UP-889110303290,6404,,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,/1/1/11906-bkhp2_2.jpg,11906-BKHP-LACE UP-889110303290,11906-BKHP-LACE UP-889110303290.html,,,Product Info Column,,,,,Yes,Use config,,BKHP,Enabled,Not Visible Individually,None,Yes,10,Medium,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-BKHP-LACE UP-889110303290,0,simple,,,,/1/1/11906-bkhp1_2.jpg,,5,0,No,1,
admin,base,Default,configurable,"3,70",8.8911E+11,1,11906-NVBL-LACE UP-SS16,,,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,,,,,,,,,,,,,,Enabled,"Catalog, Search",None,Yes,,,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-NVBL-LACE UP-889110311660,0,configurable,,,,/1/1/11906-bkhp5_2.jpg,,6,0,,,
admin,base,Default,simple,"3,70",8.8911E+11,0,11906-NVBL-LACE UP-889110311660,6404,,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,11906-NVBL-LACE UP-889110311660,11906-NVBL-LACE UP-889110311660.html,,,Product Info Column,,,,,Yes,Use config,,NVBL,Enabled,Not Visible Individually,None,Yes,6,Medium,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-NVBL-LACE UP-889110311660,0,simple,,,,/1/2/12058-nvpk4.jpg,,3,0,No,1,
admin,base,Default,simple,"3,70",8.8911E+11,0,11906-NVBL-LACE UP-889110311684,6404,,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,11906-NVBL-LACE UP-889110311684,11906-NVBL-LACE UP-889110311684.html,,,Product Info Column,,,,,Yes,Use config,,NVBL,Enabled,Not Visible Individually,None,Yes,7,Medium,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-NVBL-LACE UP-889110311684,0,simple,,,,/1/2/12058-nvpk5.jpg,,6,0,No,1,
admin,base,Default,simple,"3,70",8.8911E+11,0,11906-NVBL-LACE UP-889110311707,6404,,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,11906-NVBL-LACE UP-889110311707,11906-NVBL-LACE UP-889110311707.html,,,Product Info Column,,,,,Yes,Use config,,NVBL,Enabled,Not Visible Individually,None,Yes,8,Medium,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-NVBL-LACE UP-889110311707,0,simple,,,,/1/2/12058-nvpk6.jpg,,5,0,No,1,
admin,base,Default,simple,"3,70",8.8911E+11,0,11906-NVBL-LACE UP-889110311721,6404,,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,11906-NVBL-LACE UP-889110311721,11906-NVBL-LACE UP-889110311721.html,,,Product Info Column,,,,,Yes,Use config,,NVBL,Enabled,Not Visible Individually,None,Yes,9,Medium,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-NVBL-LACE UP-889110311721,0,simple,,,,/1/2/12058-nvpk1.jpg,,1,0,No,1,
admin,base,Default,simple,"3,70",8.8911E+11,0,11906-NVBL-LACE UP-889110311745,6404,,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,/1/2/12058-nvpk1.jpg,11906-NVBL-LACE UP-889110311745,11906-NVBL-LACE UP-889110311745.html,,,Product Info Column,,,,,Yes,Use config,,NVBL,Enabled,Not Visible Individually,None,Yes,10,Medium,3999,,,"<div class=""product-description"">
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>
                            <p class=""strong paddingTop"">Construction</p>
                            <div><ul><li>Smooth soft pigskin nubuck leather upper</li>
<li>Soft suede overlays at sides and heel</li>
<li>Fabric and synthetic detailing</li>
<li>Lace up casual sporty comfort sneaker oxford design</li>
<li>Stitching accents</li>
<li>Side and heel overlay detail</li>
<li>Side panels feature contrast colored buck stitching and fabric stripe detail</li>
<li>Embossed S logo on heel panel</li>
<li>SKECHERS logo label on side panel</li>
<li>Lace up front with metal eyelets</li>
<li>Padded collar and tongue</li>
<li>Soft fabric shoe lining</li>
<li>Relaxed Fit design for a roomy comfortable fit</li>
<li>Memory Foam cushioned comfort insole</li>
<li>Shock absorbing midsole</li>
<li>Flexible rubber traction outsole</li></ul></div>
                        

                    </div>","<p>Side Stitch Lace Up</p>
<p>Casual, comfortable style achieves a new level with the SKECHERS Relaxed Fit: Sorino - Evole shoe.  Smooth soft pigskin nubuck and suede upper in a lace up casual comfort sneaker oxford with stitching and overlay accents.  Memory Foam insole.</p>",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,11906-NVBL-LACE UP-889110311745,0,simple,,,,/1/2/12058-nvpk3.jpg,,2,0,No,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/1/2/12058-nvpk2.jpg,,4,0,,,
